Nom;Disc.poste;Salle;Heure mini;Etab;Loge
Norman Wood;Droit eco;B101;8;Genevoix;B103
Zayne Victor;Droit eco;B102;8;Cezanne;B103
Gossom Thornton;Droit eco;B104;8;Montgrand;B103
Puck Orlando;Droit eco;B105;8;St Ex;B103
Vail Cross;Droit eco;C100;8;Lumière;C107
Yayashi Aramon;Mana;C103;8;St Ex,Diderot;C107
Yoshitase Sokoto;Mana;C108;8;Diderot;C107
Kodase Atatada;Mana;C109;8;Sully;C107
Sakazumi Munemoto;Mana;C110;8;Belsunce;C107
Sugimi Ketaru;Mana;B108;8;Peguy;B110
Nakasaki Mazumi;Mana;B109;8;Hugo;B110
Tomibashi Sutori;Droit eco;B111;8;Artaud;B110
Ikebe Doriko;Mana;B112;8;Langevin;B110
Agaziwa Yoshidori;Philo;B210;8;Rimbaud;B209
Omogata Machikura;Lettres;B212;8;Hugo;B209
Sekiba Kiyomeki;Lettres;B213;8;St Charles;B209
Hirosuchi Ichiyama;Philo;B211;8;;B209
Takita Toshishi;Lettres;B214;8;;B209
Mamura Sayonami;Maths;B201;8;;B204
Kuromaki Hikaze;Maths;B207;8;;B209
Leviathan Lovelace;SVT;B202;8;;B204
Virion Serphent;SII;B301;8;;B204
Viktor Wolf;PC;B205;8;;B204
Chadli Wraith;NSI;B208;8;;B209
Vorkalth Lestat;PC;B203;8;;B204
